;x;y;z
G48_F_gg;0,152169596;-0,041551156;-0,141213611
G44_F_gg;0,173391631;-0,052174381;-0,152303589
G27_M_ggt_t;0,195091164;-0,074206464;-0,095448054
G43_M_gg;0,17031252;-0,053084743;-0,122362692
G9_M_gg;0,139739565;-0,040745654;-0,11581466
G92_F_ggrnc;0,129158242;-0,036378667;-0,067652164
G97_M_gg;0,147536403;-0,040481297;-0,127977049
G97_M_vg;0,122443954;-0,035961171;-0,125717421
G43_M_vg;0,152491251;-0,048962735;-0,123006615
G9_M_vg;0,15479889;-0,042726177;-0,140643693
G42_F_vt;0,266087431;-0,108598367;-0,156553085
G55_M_vt;0,288354186;-0,121591381;-0,156576721
G90_M_vt;0,261903594;-0,113602517;-0,152930795
G47_M_vt;0,275670726;-0,121975575;-0,142514028
G32_M_vt;0,302333928;-0,134818271;-0,157212632
G54_F_vt;0,177350025;-0,07565145;-0,074684848
G105_M_vt;0,195544046;-0,083050765;-0,113164489
G18_M_vt;0,231857576;-0,096006934;-0,14511581
G83_M_gt;0,251168368;-0,107663238;-0,141578017
G3_F_vt;0,260362235;-0,112308697;-0,135953242
G107_F_vt;0,188817032;-0,078494178;-0,117741153
G98_F_gt;0,245965312;-0,109053921;-0,129278589
G58_F_gt;0,294594367;-0,128043814;-0,157998529
G84_F_gt;0,266722661;-0,11785207;-0,137157779
G89_F_gt;0,246126524;-0,100891733;-0,158442259
G38_M_gt;0,220425966;-0,095258635;-0,116350335
G35_F_gt;0,312360353;-0,139049687;-0,142551468
G8_F_gt;0,245311847;-0,108607585;-0,135429001
G42_F_gt;0,290175794;-0,129973196;-0,140080386
G4_F_gt;0,227010741;-0,101075217;-0,104653752
G100_F_gt;0,280233229;-0,119981079;-0,147858164
G40_F_gt;0,276963967;-0,121641778;-0,13948669
G11_F_vt;0,180188738;-0,074267374;-0,123620239
G11_F_gt;0,264502414;-0,115468836;-0,129739577
G88_F_gt;0,260219812;-0,11447799;-0,138669934
G1_F_vt;0,246150188;-0,107327028;-0,128093132
G32_M_gt;0,275214465;-0,124153455;-0,131975699
G107_F_gt;0,275253264;-0,119905793;-0,15257166
G108_F_gt;0,289676851;-0,128874252;-0,147738585
G38_M_vt;0,188069644;-0,078365942;-0,112180847
G27_M_vt;0,180547513;-0,068407044;-0,099554213
G105_M_gt;0,257282346;-0,112224963;-0,136151274
G90_M_gt;0,25054247;-0,10994048;-0,119764601
G1_F_gt;0,18913626;-0,089539195;-0,059345705
G54_F_gt;0,277928539;-0,122477517;-0,118492613
G35_F_vt;0,216255935;-0,092719121;-0,111864258
G3_F_gt;0,293275168;-0,13845916;-0,121438905
G83_M_vt;0,177013118;-0,070976387;-0,113276353
G50_F_gt;0,249693605;-0,103717977;-0,122414728
G46_M_vt;0,19398717;-0,070999455;-0,115370969
G47_M_gt;0,262925809;-0,118260901;-0,115649085
G45_F_gt;0,25151893;-0,109598023;-0,114629806
G99_F_gt;0,182389438;-0,073695516;-0,131086859
G41_F_gt;0,247841927;-0,11254369;-0,097748271
G39_M_vt;0,16153646;-0,067411751;-0,092904035
G46_M_gt;0,181517477;-0,068878388;-0,096491339
G39_M_gt;0,208556873;-0,089999524;-0,101979499
G41_F_vt;0,202308012;-0,090771428;-0,082046872
G101_F_gt;0,269135489;-0,115438841;-0,131538695
G45_F_vt;0,137230884;-0,056669207;-0,069206249
G99_F_vatrnj;0,139188052;-0,05854541;-0,120527191
G19_M_vatrnj;0,143832528;-0,056841817;-0,08980588
G40_F_vatrnj;0,124127421;-0,048948258;-0,083251762
G88_F_vatrnj;0,146414179;-0,060178514;-0,079768223
G100_F_vatrnj;0,159898267;-0,061027849;-0,106883789
G28_F_gbuv;0,079833398;-0,032197849;-0,089239017
G33_F_vbuv;0,095025378;-0,035994399;-0,120719485
G10_F_vbuv;0,091390989;-0,032996611;-0,066829753
G44_F_vbuv;0,125532565;-0,048528664;-0,064543206
G20_F_vbuv;0,091235923;-0,035185797;-0,043543917
G95_M_vbuv;0,106850244;-0,040620199;-0,079869754
G23_M_vbuv;0,067049979;-0,026469314;-0,046870031
G25_F_vbuv;0,117563473;-0,041442373;-0,071675485
G15_F_vbuv;0,088148281;-0,03403774;-0,07626316
G7_F_vbuv;0,089659111;-0,034808074;-0,054656687
G2_F_vbuv;0,087310486;-0,029578471;-0,108781767
G52_F_vbuv;0,085657198;-0,032245814;-0,047633138
G89_F_vbuv;0,104183039;-0,038650532;-0,063018559
G103_F_vbuv;0,112340396;-0,037338182;-0,101378136
G31_M_vbuv;0,084858238;-0,031845018;-0,055833896
G98_F_vbuv;0,087823266;-0,033136963;-0,054757239
G36_F_vbuv;0,081771538;-0,033099602;-0,04824012
G106_M_gbuv;0,096691166;-0,039565354;-0,066603451
G18_M_gbt_buv;0,099993661;-0,039145438;-0,073177047
G30_M_gbuv;0,075965489;-0,029581776;-0,054194143
G51_F_vbuv;0,096797292;-0,03427753;-0,096372499
G49_F_gbuv;0,089703069;-0,034395957;-0,071978861
G8_F_vbuv;0,085168319;-0,034442604;-0,057148881
G55_M_gbuv;0,091523138;-0,034429949;-0,069744924
G28_F_vbuv;0,075504025;-0,031645385;-0,048124684
G19_M_gbuv;0,103470268;-0,038568767;-0,094823096
G48_F_vbuv;0,07330924;-0,0248074;-0,056026488
G50_F_vbuvrosat;0,109002321;-0,041860144;-0,055886587
G85_F_gbuv;0,077244927;-0,030594083;-0,092467549
G37_M_gbuv;0,097091907;-0,031926526;-0,061317935
G31_M_gbuv;0,08274345;-0,032814972;-0,043959287
G108_F_vbuvrosat;0,116309682;-0,046980549;-0,076526456
G106_M_vbuv_rosat;0,102806455;-0,042393276;-0,070119827
G24_F_vbuv;0,077064619;-0,031593887;-0,032858247
G92_F_vbuv;0,075431486;-0,025761844;-0,045134803
G29_M_gbuv;0,087329031;-0,031438222;-0,100039062
G12_F_vbuv;0,066173719;-0,024452603;-0,041983794
G4_F_vbuv;0,068086042;-0,027422834;-0,034072772
G16_M_gbuv;0,077664689;-0,02607114;-0,109257203
G30_M_vbuv;0,089951811;-0,034442249;-0,061099443
G29_M_vbuv;0,101552086;-0,037507528;-0,109040804
G95_M_gbuv;0,110216015;-0,039466657;-0,069929266
G85_F_vbuv;0,073769813;-0,029399512;-0,066024295
G22_M_vbuv;0,073829419;-0,027600767;-0,056540613
G24_F_gbuv;0,070598212;-0,028330217;-0,035947758
G13_F_vbuv;0,093117686;-0,036182302;-0,049345343
G22_M_gbuv;0,072042153;-0,027742458;-0,049341629
G37_M_vbuv;0,094068535;-0,032374294;-0,087745524
G49_F_vbuv;0,08055391;-0,032972268;-0,046745851
G101_F_vbuv_rosat;0,113655833;-0,043254256;-0,065743606
G104_M_gbuv;0,092048852;-0,032070431;-0,095131465
G23_M_gbuv;0,064394608;-0,026026697;-0,03580841
G14_M_vb;0,113809893;-0,03478872;-0,191966835
G84_F_vbt_buv;0,124624474;-0,042362754;-0,082805011
G21_M_vb;0,093472322;-0,030616585;-0,178393801
G2_F_gb;0,092379622;-0,030085616;-0,169856768
G7_F_gb;0,122351318;-0,041628541;-0,166110702
G103_F_gb;0,134224411;-0,037543259;-0,193682999
G15_F_gb;0,099866057;-0,034641943;-0,152740034
G51_F_gb;0,113678728;-0,035394485;-0,176661133
G10_F_gb;0,09619563;-0,030087726;-0,169880931
G33_F_gb;0,096185445;-0,032562356;-0,168665251
G13_F_grosat;0,137058731;-0,054987042;-0,103924435
