;x;y;z
Bazerque_M_D55_od;0,01645021;-0,015972358;0,144507296
Bazerque_M_A45_od;0,031847492;-0,019431653;0,122837107
Bazerque_M_D36_od;0,078070934;-0,016139951;0,072766803
Bazerque_M_A37_od;0,076397418;-0,0196601;0,076581615
Bazerque_M_A98_od;0,006046146;-0,016924882;0,12564926
Bazerque_M_D16_od;0,032940984;-0,013021702;0,147902402
Bazerque_M_B1_od;0,031009966;-0,025650141;0,140527864
Bazerque_M_E2_od;0,016591747;-0,018729183;0,125554501
Bazerque_M_A73_od;0,036906997;-0,016808453;0,028905142
Bazerque_M_A38_od;0,09268777;-0,028638439;0,001556119
Bazerque_M_E15_od;0,025707027;-0,021680537;0,173677423
Bazerque_M_A77_od;0,062052391;-0,03143231;0,112672493
Bazerque_M_C96_od;0,030679836;-0,015600423;0,129874232
Bazerque_M_D8_od;0,057269577;-0,019608612;0,042583139
Bazerque_M_C31_od;0,020581937;-0,021035976;0,131201784
Bazerque_M_B26_od;0,015401059;-0,018013791;0,158172803
Bazerque_M_E48_od;0,003170959;-0,015479258;0,191041213
Bazerque_M_E1_od;0,051774271;-0,024908981;0,034736329
Bazerque_M_D6_od;0,034730929;-0,022284321;0,069293076
Bazerque_M_D32_od;0,069755479;-0,024043864;0,096162302
Bazerque_M_A36_od;0,004980743;-0,015846598;0,114623497
Bazerque_M_E89_od;0,055682737;-0,015972709;0,087893776
Bazerque_M_D14_od;0,012691231;-0,013818513;0,185337085
Bazerque_M_A29_od;0,057855362;-0,017773326;0,02937645
Bazerque_M_E63_od;-0,017502917;-0,016193315;0,096719415
Bazerque_M_E21_od;0,009171916;-0,017323326;0,167122245
Bazerque_M_A84_od;0,064999372;-0,017541633;0,059167685
Bazerque_M_A41_od;0,048245306;-0,019689132;0,126542298
Bazerque_M_E88_od;0,043306757;-0,01652617;0,113791136
Bazerque_M_C48_od_2a;0,10516406;-0,026521122;0,016104261
Bazerque_M_C48_od;0,04151302;-0,016018414;0,141292596
Bazerque_M_D18_od;0,016956845;-0,017072052;0,102842251
Bazerque_M_D9_od;0,045128073;-0,016707096;0,042258826
Bazerque_M_E45_od;0,026835527;-0,013140537;0,068852564
Agudes_M_E36_od;0,033916379;-0,030291314;0,080274219
Agudes_M_E37_od;0,058882882;-0,031990834;0,063996583
Agudes_M_E39_od;0,052727486;-0,028103797;0,13793861
Agudes_M_E44_od;0,079034867;-0,033724553;0,05060661
Agudes_M_E45_od;0,036294889;-0,015644961;0,082795223
Agudes_M_E49_od;0,049471924;-0,03505476;0,094076575
Agudes_M_E50_od;0,03731954;-0,034303771;0,06493296
Agudes_M_E52_od;0,023684674;-0,024263226;0,047616518
Agudes_M_E54_od;0,03557039;-0,016078616;0,061152099
Agudes_M_E55_od;0,076311661;-0,034708403;0,035531826
Agudes_M_E56_od;0,043391773;-0,024689017;0,071699858
Agudes_M_E59_od;0,031764028;-0,028458788;0,07018398
Agudes_M_E61_od;0,050558657;-0,03293102;0,054461969
Agudes_M_E65_od;0,097639505;-0,038395556;0,020977839
Agudes_M_E71_od;0,024531167;-0,026169756;0,064024803
Agudes_M_E72_od;0,062773324;-0,022464702;0,048623769
Agudes_M_E73_od;0,039060628;-0,027508283;0,042628011
Agudes_M_E74_od;0,078146049;-0,036750166;0,095884872
Agudes_M_E76_od;0,051178425;-0,030203881;0,05539918
Agudes_M_E78_od;0,041787262;-0,024675277;0,046088744
Agudes_M_E81_od;0,012222984;-0,017678504;0,126898666
Agudes_M_E90_od;0,043636732;-0,022289355;0,038639761
Avet_M_A15_od;0,025297759;-0,026158967;0,069842138
Avet_M_A19_od;0,042694579;-0,028135061;0,079470623
Avet_M_A25_od;0,046180355;-0,024758417;0,042690121
Avet_M_A28_od;0,023424909;-0,016531163;0,059997353
Avet_M_A34_od;0,040021884;-0,032716913;0,067208823
Avet_M_A59_od;0,021900152;-0,027050173;0,097944593
Avet_M_A6_od;0,022409667;-0,01973657;0,074153591
Avet_M_A70_od;0,062275799;-0,026407291;0,033137518
Avet_M_A85_od;0,03759518;-0,027092203;0,058529848
