;x;y;z
E54_gg;0,171719798;-0,044720668;-0,138959997
E54_vg;0,160461813;-0,041941856;-0,136875035
F57_gg;0,190708325;-0,049069629;-0,111370645
F57_vgrnc;0,163020484;-0,050406372;-0,138345812
F23_gg;0,166980736;-0,04551176;-0,105551871
G61_gg;0,179335684;-0,049682503;-0,126911913
G97_ggrnc;0,160200141;-0,05173754;-0,108488027
G97_vgrnc;0,161902446;-0,047802413;-0,1475293
F58_gguv;0,152775102;-0,045530347;-0,057676348
F58_vguv;0,157588089;-0,044154424;-0,091136381
F38_gg;0,247083426;-0,06920103;-0,167547169
F38_vg;0,142904321;-0,037651653;-0,132520627
F12_gg;0,219645661;-0,054418904;-0,130879927
F76_ggrnc;0,135666145;-0,040375393;-0,0770867
F76_vgrnc;0,13180816;-0,039716931;-0,11820443
E44_gg;0,189048048;-0,04746544;-0,151472313
E44_vg;0,145660791;-0,038406594;-0,139010874
F32_gg;0,234136376;-0,060992891;-0,159087245
F32_vg;0,156244236;-0,048223683;-0,11629884
F53_gg;0,19425743;-0,053367728;-0,111709354
F53_vg_mud;0,125453248;-0,032438849;-0,096481905
F21_gg;0,204352532;-0,057002489;-0,163205561
F21_vg;0,147711923;-0,04608994;-0,129118356
F18_gg;0,266730659;-0,071589811;-0,188536393
F18_vg;0,145591913;-0,039263422;-0,120298137
F45_gg;0,223701553;-0,065517469;-0,177234961
F45_vgrnc;0,162628769;-0,055457588;-0,118571786
F31_gg;0,209603488;-0,049491409;-0,158489778
F31_vgrnc;0,143902312;-0,03786605;-0,144141826
F52_gg;0,169164133;-0,04087637;-0,122822904
F52_vgrnc;0,114239863;-0,035083338;-0,089227629
F71_gg;0,203693284;-0,053139252;-0,152626182
F71_vgrnc;0,129302122;-0,043567113;-0,088274705
G32_gg;0,226686821;-0,066693989;-0,154847836
G32_vg;0,182670373;-0,050813971;-0,133657646
F46_gg;0,178085213;-0,042922027;-0,077786928
G53_gg;0,193917774;-0,05421841;-0,128138766
F72_gg;0,194316608;-0,052097992;-0,127055974
F72_vg;0,16851677;-0,045485165;-0,149558373
G65_ggrnc;0,131404037;-0,037291609;-0,103718457
F16_gg;0,157518772;-0,043375959;-0,111975587
F16_vgrnc;0,101159164;-0,027301562;-0,089900895
E66_ggrnc;0,135934382;-0,039294777;-0,070238262
E52_gg;0,22168469;-0,064114539;-0,134418011
E52_vg;0,192686229;-0,059356606;-0,141529467
F30_gg;0,207924742;-0,055926583;-0,134525681
F30_vgrnc;0,15611839;-0,044998877;-0,134133775
F14_gg;0,185538376;-0,047771381;-0,132376499
F22_gg;0,187899965;-0,04935082;-0,131947351
F22_vgrnc;0,14157056;-0,045623843;-0,102545819
