;x;y;z
G55_F_gv;0,142527566;-0,032044617;-0,106727143
G55_F_glatv;0,251071428;-0,04837564;-0,181807366
G55_F_vbgrnc;0,130436523;-0,037541014;-0,093469106
G55_F_oe-menut;0,081727373;-0,033557156;-0,029282881
G55_F_dv;0,256486963;-0,06430644;-0,20760775
G55_F_dlm;0,192297685;-0,064050865;-0,19781413
G55_F_od_menut;0,089941566;-0,034125858;-0,008833178
G108_F_gbuv;0,111318712;-0,037220775;-0,090853193
G108_F_vbuv;0,112438885;-0,03390415;-0,102227759
G108_F_dv;0,248395367;-0,017444719;-0,198107194
G108_F_lm;0,184721018;-0,056759655;-0,162189588
G108_F_dldg;0,178359916;-0,043879106;-0,206938264
L38_F_gverdosa;0,137901045;-0,025500568;-0,136422369
L38_F_glv;0,273587657;-0,03666957;-0,194675234
L38_F_vbuvgrnc;0,130721678;-0,03448498;-0,114042674
L38_F_dv;0,244724988;-0,020298415;-0,206342864
L38_F_lm;0,237328158;-0,078476412;-0,199571627
L38_F_dldg;0,255972274;-0,058136203;-0,207306744
L38_F_oceld_menut;0,14164267;-0,042761808;-0,058422513
H7_F_gbgrnc;0,141472575;-0,033844124;-0,145128649
H7_F_glatg;0,229540812;-0,048162854;-0,186308585
H7_F_vbuv;0,099911374;-0,029777021;-0,124491729
H7_F_dv;0,255297235;-0,066446175;-0,183221193
H7_F_dldg;0,17124989;-0,042925429;-0,191226602
H7_F_lm;0,172591532;-0,060651435;-0,136229865
L12_M_gg;0,171252107;-0,041765181;-0,120375118
L12_M_glatg;0,22512296;-0,050765647;-0,141111327
L12_M_vt;0,260785889;-0,104364197;-0,163544195
L12_M_oe;0,07671616;-0,023221325;0,036132179
L12_M_ocele;0,07195324;-0,019846573;0,03408706
L12_M_dv;0,27064698;-0,039919914;-0,196511927
L12_M_dldg;0,175981271;-0,038962311;-0,210070471
L12_M_lm;0,221589727;-0,064984693;-0,176270337
L12_M_oceld;0,08770091;-0,0232616;0,01946329
L12_M_od;0,0688988;-0,021462803;0,059625156
F24_F_gb;0,13345628;-0,035743426;-0,10732555
F24_F_glatverdos;0,177879211;-0,047957242;-0,1279265
F24_F_vbuv;0,128997703;-0,031454817;-0,111993909
F24_F_dv;0,18196386;-1,53E-05;-0,164108742
F24_F_dldg;0,198084788;-0,054204005;-0,196708581
F24_F_lm;0,178703862;-0,058535829;-0,150163575
G98_M_gbuv;0,096658999;-0,030057363;-0,076556145
G98_M_glatg;0,212844081;-0,052552271;-0,131245393
G98_M_vb;0,110205982;-0,027666569;-0,13700877
G98_M_dv;0,214937721;-0,010468758;-0,199253308
G98_M_oe;0,071017752;-0,018104738;0,03750713
G98_M_dldg;0,184764312;-0,045604597;-0,202148127
G98_M_lm;0,164960581;-0,049531025;-0,159946708
G98_M_od;0,040376286;-0,016642283;0,095708288
F26_M_gbuv;0,105272474;-0,033007497;-0,079908556
F26_M_vbuv;0,101189615;-0,026683731;-0,093305034
F26_M_glatv;0,182531456;-0,040340936;-0,109118492
F26_M_dv;0,198433318;0,001239281;-0,184735195
F26_M_ocele;0,028874502;-0,012636382;0,077181527
F26_M_oe;0,033182682;-0,015006593;0,084538507
F26_M_dldg;0,21215413;-0,043071068;-0,213057425
F26_M_lv;0,241782724;-0,036833927;-0,206891495
F26_M_od;0,048808547;-0,011544673;0,05955971
F26_M_oceld;0,060161602;-0,017247078;0,029516444
L5_M_gg;0,161164955;-0,038976865;-0,121294117
L5_M_latgv;0,210526279;-0,047367347;-0,155397116
L5_M_vg;0,196223948;-0,040256413;-0,197323431
L5_M_oceld,,,64;0,091681977;-0,020385551;-0,027566763
L5_M_oe;0,08903589;-0,017121959;-0,01049126
L5_M_dv;0,241969898;-0,040166143;-0,197431648
L5_M_oceld,,,67;0,081492859;-0,021789519;-0,040886279
L5_M_dldg;0,174956795;-0,04493417;-0,199252951
L5_M_lm;0,152793212;-0,049202401;-0,144026866
L5_M_od;0,088839982;-0,02297084;0,009117918
G47_M_gbuv;0,11369652;-0,034861757;-0,084836523
G47_M_vg;0,19528626;-0,048103082;-0,135123159
G47_M_oe;0,062528658;-0,008356776;0,091489855
G47_M_glatv;0,263724962;-0,052377995;-0,161848608
G47_M_dv;0,201692658;-0,000718912;-0,162864233
G47_M_dldm;0,182467502;-0,047172013;-0,183097973
G47_M_lm;0,165461382;-0,052926074;-0,144802208
G47_M_od;0,060106785;0,00420765;0,029337488
F71 BIS_M_gbuv;0,139439754;-0,041968014;-0,104166184
F71 BIS_M_glatv;0,239642139;-0,034735638;-0,174646178
F71 BIS_M_vt;0,251364171;-0,091182221;-0,153264135
F71 BIS_M_ocele;0,036589;-0,00626446;0,149457814
F71 BIS_M_oe;0,035032114;-0,00910183;0,136377969
F71 BIS_M_dv;0,203775403;0,001611073;-0,188915201
F71 BIS_M_dldg;0,20192025;-0,047747573;-0,212598063
F71 BIS_M_lmv;0,206604197;-0,047258267;-0,182246132
F71 BIS_M_oceld;0,034854797;-0,009815202;0,149137529
F71 BIS_M_od;0,027702291;-0,006263792;0,144208469
G31_F_gv;0,166382961;-0,0324016;-0,103674615
G31_F_glatv;0,241875698;-0,034906025;-0,177565135
G31_F_vbv;0,166070676;-0,037137725;-0,116496979
G31_F_dv;0,259484723;-0,019990724;-0,198472672
G31_F_dldg;0,216128035;-0,056515597;-0,207635746
G31_F_lm;0,176021464;-0,05775063;-0,156423092
F20_F_gbuv;0,080895319;-0,028164416;-0,09468255
F20_F_vbuv;0,0871183;-0,030083148;-0,104952068
F20_F_glatvg;0,239249062;-0,049500957;-0,176938749
F20_F_dv;0,234185882;-0,029329764;-0,178967743
F20_F_dldg;0,206977115;-0,041805705;-0,202349207
F20_F_lm;0,184472872;-0,056840062;-0,180262037
F20_F_od_menut;0,071052496;-0,029042817;-0,015403079
F19_M_gg;0,182349355;-0,040355428;-0,135355408
F19_M_glatgv;0,253189086;-0,046430534;-0,157263439
F19_M_vatrnj;0,21965715;-0,085171409;-0,168019428
