;x;y;z
H6_M_gt;0,206939144;-0,085598139;-0,139625724
H6_M_vatrnj;0,134120649;-0,051501133;-0,123193351
H6_M_oe;0,039853186;-0,013511181;0,07725747
H6_M_dm;0,200388063;-0,067653831;-0,198366598
H6_M_dld_m;0,178715125;-0,055247987;-0,175915664
H6_M_ocele;0,006564614;-0,010517074;0,159225365
H6_M_oceld;-0,004263253;-0,011790187;0,153818287
H6_M_od;0,030610581;-0,015696068;0,114243967
H89_M_gb;0,070235058;-0,025153178;-0,129828575
H89_M_vb;0,104599315;-0,038739473;-0,120751332
H89_M_oe;0,038492231;-0,023751397;0,070345315
H89_M_ocele;0,006254434;-0,013327354;0,11318664
H89_M_dm;0,19950919;-0,065533502;-0,179699629
H89_M_dldm;0,185185397;-0,053765503;-0,199457318
H89_M_oceld;0,013975472;-0,014567647;0,109501488
H89_M_od;0,038449587;-0,023745575;0,067361417
H91_M_gt;0,190532181;-0,070760752;-0,161078774
H91_M_vt;0,156204066;-0,061074254;-0,105919415
H91_M_oe;0,03651104;-0,008481415;0,070670607
H91_M_ocele;0,01970893;-0,008780287;0,094510915
H91_M_dmv;0,205669005;-0,067730272;-0,150880345
H91_M_dldmv;0,223260789;-0,06430243;-0,195589135
H91_M_oceld;0,014235055;-0,00903448;0,089843086
H91_M_od;0,024826514;-0,010387414;0,070360772
H92_M_gatrnj;0,140967947;-0,053250541;-0,154354355
H92_M_vatrnj;0,115759353;-0,040309832;-0,153906626
H92_M_oe;0,030945119;-0,022821192;0,054110215
H92_M_ocele;0,006735999;-0,011615195;0,081577388
H92_M_dm;0,204043847;-0,071164457;-0,204675936
H92_M_dldm;0,204449956;-0,066594415;-0,207045039
H92_M_oceld;0,003495304;-0,012725087;0,091438591
H92_M_od;0,021317827;-0,022141324;0,066363998
H75_F_gbuv;0,079626382;-0,029101083;-0,080789403
H75_F_vbuv;0,091587093;-0,033084202;-0,098954983
H75_F_dm;0,174415868;-0,055147774;-0,189038561
H75_F_dldm;0,197036867;-0,060769799;-0,213434036
H75_F_ocele;0,078184123;-0,028702753;-0,056067405
H75_F_oceld;0,067594116;-0,027270066;-0,018210445
H75_F_lm;0,174705747;-0,069188819;-0,161378426
H84_F_gbuv;0,078341473;-0,026655168;-0,098140188
H84_F_vbuv;0,093356785;-0,033433493;-0,099201869
H84_F_dm;0,17050742;-0,05068874;-0,18583298
H84_F_dldv;0,173186987;-0,043610907;-0,197828547
H84_F_oceld;0,074842346;-0,022686272;-0,06258306
H84_F_ocele;0,072245614;-0,023549221;-0,065468371
H84_F_lm;0,204112506;-0,075217166;-0,17440061
F33_M_gt;0,180547914;-0,07137313;-0,145747401
F33_M_vb;0,09627857;-0,034149322;-0,115151336
F33_M_ocele;0,005813745;-0,012357072;0,095346825
F33_M_oe;0,057818101;-0,026698513;0,017883371
F33_M_dm;0,227129649;-0,074504418;-0,195795278
F33_M_oceld;0,004416233;-0,013790112;0,086654871
F33_M_od;0,049199262;-0,022034129;0,027317025
F33_M_dldm;0,170855688;-0,048599374;-0,190873153
F33_M_lm;0,176761607;-0,063304616;-0,159705181
H79_M_gbuv;0,095250616;-0,037334132;-0,061919617
H79_M_vb;0,078056956;-0,02823969;-0,07772368
H79_M_ocele;0,008630017;-0,01037734;0,139658597
H79_M_oe;-0,00076731;-0,009136366;0,138501502
H79_M_dm;0,203452454;-0,067600856;-0,160119643
H79_M_dldm;0,176008588;-0,059343482;-0,156548055
H79_M_oceld;-0,009776674;-0,012552825;0,135055979
H79_M_od;0,010360114;-0,011211207;0,130584843
H36_F_vbuv,,,65;0,091637671;-0,031667008;-0,092576929
H36_F_vbuv,,,66;0,091844242;-0,031264839;-0,09720109
H36_F_dm;0,181007136;-0,069140161;-0,10686873
H36_F_dldv;0,228421213;-0,055974002;-0,195062019
H36_F_lm;0,176170367;-0,065668736;-0,099160476
F21_F_gbuv;0,075750501;-0,029487575;-0,053385321
F21_F_vbuv;0,070642831;-0,025592883;-0,060395655
F21_F_dm;0,189294784;-0,061631491;-0,154822334
F21_F_dldm;0,195580437;-0,058440378;-0,201770371
F21_F_lm;0,210456018;-0,084064353;-0,125231244
F21_F_oceld;0,101040083;-0,040634191;-0,053729193
F21_F_ocele;0,088170232;-0,037667138;-0,036117148
H74_F_gbuv;0,075211853;-0,026390135;-0,094578531
H74_F_vb;0,091349002;-0,030834705;-0,130681304
H74_F_dm,,,79;0,157860111;-0,054001212;-0,125445101
H74_F_dldm,,,80;0,167434526;-0,046326639;-0,189934222
H74_F_lm,,,81;0,107531015;-0,046030326;-0,02343935
H74_F_oceld;0,047202487;-0,027739167;0,023187073
H74_F_ocele;0,062218675;-0,026981388;-0,035025294
H74_F_vbuv,,,84;0,089672859;-0,030679056;-0,093937899
H74_F_vbuv,,,85;0,087121866;-0,029894869;-0,093117225
H74_F_dm,,,86;0,230407971;-0,077162413;-0,213646223
H74_F_dldm,,,87;0,213264105;-0,062175279;-0,222848177
H74_F_lm,,,88;0,176221272;-0,069053782;-0,159550136
F23_M_gt;0,306382784;-0,136412773;-0,145751749
F23_M_vt;0,286229846;-0,124033779;-0,14792798
F23_M_ocele;-0,006810874;-0,010309875;0,085996526
F23_M_oe;-0,017528726;-0,01063951;0,083714769
F23_M_dv;0,22615611;-0,063815616;-0,144593332
F23_M_dldm;0,176469246;-0,059105781;-0,131046039
F23_M_oceld;-0,007068028;-0,010461765;0,085011181
F23_M_od;-0,026131993;-0,010494798;0,103905925
H5_M_gt;0,236561657;-0,100563847;-0,144618694
H5_M_vatrnj;0,145008619;-0,05453729;-0,161649928
H5_M_oe;0,027029888;-0,019241318;0,06787378
H5_M_ocele;-0,003687993;-0,01218956;0,121122473
H5_M_dm;0,212635751;-0,073804429;-0,176924976
H5_M_dldm;0,170905752;-0,054812081;-0,178564835
H5_M_oceld;0,007436882;-0,013413041;0,106888047
H5_M_od;0,029854073;-0,018039157;0,068107561
G63_F_gb;0,087264002;-0,03010259;-0,107608706
G63_F_vbuv;0,075908558;-0,027037904;-0,089506463
G63_F_ocele;0,077498997;-0,024591466;-0,050561242
G63_F_dmv;0,205767053;-0,067554745;-0,143911434
G63_F_dldvm;0,131458121;-0,032056485;-0,168926177
G63_F_od;0,093417118;-0,026582989;-0,081264512
H19_F_gbuv;0,09029505;-0,032007536;-0,094819047
H19_F_vbuv;0,080887726;-0,028762664;-0,087593576
H19_F_dm;0,201347068;-0,062335484;-0,17596229
H19_F_dldm;0,173123561;-0,04703669;-0,199235046
H19_F_lm;0,156988902;-0,064493081;-0,05746591
H19_F_oceld;0,023890882;-0,019231246;0,065155642
H19_F_ocele;0,014623658;-0,019331117;0,064192745
H19_F_oe_menut;0,057585987;-0,027974525;0,002043682
XX_M_gt;0,286832656;-0,130418913;-0,136249392
XX_M_vt;0,368936318;-0,169666977;-0,165952408
XX_M_ocele;-0,018024708;-0,009714169;0,030372622
XX_M_oe;-0,015787669;-0,011879928;0,042371119
XX_M_dm;0,215206244;-0,078765898;-0,159327117
XX_M_dldm;0,254082383;-0,091369266;-0,194807889
XX_M_oceld;-0,003244232;-0,009659109;0,023008165
XX_M_od;-0,014755425;-0,011371108;0,025886386
H25_F_gbuv;0,074553088;-0,025983696;-0,078833935
H25_F_vbuv;0,087357041;-0,030222589;-0,099469104
H25_F_dm;0,186637693;-0,056495844;-0,189052376
H25_F_dldm;0,17201478;-0,049747739;-0,193000095
H25_F_lm;0,180476222;-0,071099073;-0,112932181
G26_F_gbuv;0,076585645;-0,028717243;-0,090012957
G26_F_vbuv;0,109388963;-0,039155546;-0,11156646
G26_F_dm;0,196553732;-0,064189352;-0,172861225
G26_F_ocele;0,053325154;-0,022974209;-0,016332461
G26_F_dldm;0,162066901;-0,044183167;-0,191753481
G26_F_lm;0,07301533;-0,029347233;-0,010429254
G26_F_oceld;0,048845773;-0,021048667;-0,013150693
G76_M_gt;0,265327729;-0,113228646;-0,165319627
G76_M_vt;0,282865721;-0,120096449;-0,171386866
G76_M_oe;0,042785353;-0,013955333;0,063304686
G76_M_ocele;0,008448968;-0,010524259;0,078624087
G76_M_dm;0,24991741;-0,08560792;-0,225261487
G76_M_dldm;0,190611806;-0,058652065;-0,203018187
G76_M_oceld;0,021511262;-0,010614689;0,058650876
G76_M_od;-0,000549072;-0,014475842;0,043636305
G82_F_gbuv;0,089431112;-0,032842709;-0,108336229
G82_F_vb;0,09007603;-0,030590697;-0,118996895
G82_F_dm;0,206684763;-0,067883126;-0,138689888
G82_F_dldv;0,208115938;-0,056259575;-0,195954142
G82_F_lm;0,138648725;-0,057941344;-0,027781266
G82_F_oceld,,,152;0,061851449;-0,026746624;-0,002732156
G82_F_oceld,,,153;0,029684374;-0,022228378;0,061685371
F80_F_vbuv;0,086572776;-0,03110641;-0,105244083
F80_F_vb;0,105998012;-0,035500223;-0,147822555
F80_F_dm;0,188554034;-0,063594422;-0,149451168
F80_F_dldvm;0,178698553;-0,048480686;-0,179412142
F80_F_oceld;0,077571586;-0,024786803;-0,045396776
F80_F_lm;0,165049243;-0,069287864;-0,066983936
F80_F_ocele;0,087515169;-0,03086308;-0,047368367
G30_M_gt;0,303813503;-0,134965631;-0,15758714
G30_M_vt;0,259389727;-0,109828681;-0,15995412
G30_M_ocele;-0,014925806;-0,012472385;0,139177695
G30_M_oe;0,008821918;-0,012466386;0,106166597
G30_M_dm;0,214684021;-0,080247294;-0,17602684
G30_M_dldm;0,242438235;-0,080441803;-0,209183827
G30_M_oceld;-0,005319388;-0,011536117;0,140682174
G30_M_od;0,021581739;-0,020008556;0,081892524
H29_F_gbuv;0,080556544;-0,027149509;-0,101200392
H29_F_vbuv;0,069737327;-0,022466303;-0,103846671
H29_F_dm;0,188533662;-0,060634908;-0,187735451
H29_F_dldm;0,163910955;-0,047171092;-0,193833791
H29_F_lm;0,168415916;-0,064185344;-0,176477386
G35_M_gt;0,196750071;-0,082239687;-0,141938162
G35_M_vrosat;0,116982365;-0,042491501;-0,129671843
G35_M_oe_menut;0,072863197;-0,027588617;-0,004200109
G35_M_ocele;0,009676771;-0,014073496;0,10418051
G35_M_dm;0,196845116;-0,06963407;-0,196062923
G35_M_dldm;0,184891972;-0,060800416;-0,193774581
G35_M_oceld;0,032265464;-0,018621754;0,066636057
G35_M_od_menut;0,090746103;-0,034217062;0,010263868
G12_F_gbuv;0,078105763;-0,026846689;-0,100341221
G12_F_vbuv;0,077953251;-0,027819527;-0,081234092
G12_F_dm;0,269769034;-0,08846777;-0,236545636
G12_F_dldv;0,237132048;-0,06362307;-0,222030321
G12_F_lm;0,168781335;-0,059935467;-0,212552785
G12_F_ocele;0,097106597;-0,029000999;-0,091342223
G32_F_gbuv;0,079463592;-0,028525532;-0,074764569
G32_F_vbuv;0,083306785;-0,029888452;-0,072481721
G32_F_dm;0,221256356;-0,077511755;-0,165948778
G32_F_dldv;0,187097378;-0,049371779;-0,183115275
G32_F_lm;0,21428201;-0,080029497;-0,122531544
G32_F_ocele;0,085743143;-0,026410744;-0,042631104
G32_F_oceld;0,051169434;-0,01941547;-0,021505246
H59_M_gt;0,220308217;-0,090731903;-0,136194341
H59_M_vt;0,161540883;-0,062835161;-0,141239782
H59_M_oe;0,038083119;-0,020710154;0,086759264
H59_M_ocele;-0,005954818;-0,012950697;0,147650633
H59_M_dm;0,206537008;-0,070131166;-0,146512834
H59_M_dldm;0,16218755;-0,043834198;-0,182068594
H59_M_oceld;-0,007497668;-0,012973837;0,151758527
H59_M_od;0,021447129;-0,016475105;0,105593202
G77_M_gt;0,250986689;-0,109561902;-0,102167804
G77_M_vt;0,233297323;-0,104460569;-0,074730341
G77_M_oe;0,023243232;-0,009641981;0,066048165
G77_M_ocele;-0,009303253;-0,00969177;0,101131923
G77_M_dm;0,167989709;-0,054670056;-0,073627626
G77_M_dldm;0,155795659;-0,048340031;-0,117618605
G77_M_oceld;0,000582953;-0,010353454;0,098368913
G77_M_od;0,016284449;-0,009216766;0,077537758
H38_M_gt;0,233410012;-0,103876154;-0,092221985
H38_M_vt;0,251557916;-0,110329128;-0,104626712
H38_M_ocele;0,01261669;-0,010928449;0,096474194
H38_M_oe;0,007884479;-0,010080266;0,051464081
H38_M_dm;0,157692655;-0,055299235;-0,079671754
H38_M_dldm;0,209633825;-0,067993978;-0,187067182
H38_M_oceld;-0,00090277;-0,012513491;0,093561967
H38_M_od;0,015552513;-0,009959539;0,056701309
G106_F_gtbuv;0,090415306;-0,031120648;-0,08684584
G106_F_vbuv;0,080523189;-0,028682975;-0,073427056
G106_F_dm;0,215562877;-0,072813621;-0,162698622
G106_F_dldm;0,181120293;-0,052243627;-0,18373939
G106_F_lm;0,161197589;-0,060776734;-0,103105232
G41_F_gbuv;0,101056344;-0,035826176;-0,095060567
G41_F_vbuv;0,093549827;-0,033029803;-0,088804237
G41_F_dm;0,167895025;-0,062999227;-0,075902671
G41_F_dldv;0,242446924;-0,054750261;-0,203581313
G41_F_lm;0,164459906;-0,058801255;-0,072954724
G41_F_oceld;0,091411999;-0,029357291;-0,063606948
G41_F_ocele;0,051392868;-0,022579387;0,017940583
H31_M_gt;0,249744011;-0,113693868;-0,11065212
H31_M_vt;0,360709264;-0,157355354;-0,182438557
H31_M_ocele;-0,000607711;-0,0096017;0,099809216
H31_M_oe;-0,000239088;-0,009375676;0,071885009
H31_M_dm;0,187321749;-0,065161175;-0,135501474
H31_M_dldm;0,206093247;-0,064165967;-0,171105087
H31_M_oceld;-0,001834423;-0,009304163;0,097876923
H31_M_od;0,003182644;-0,010245161;0,103663671
F50_F_gbuv;0,084083587;-0,029065041;-0,085127283
F50_F_vbuv;0,069115021;-0,024201661;-0,0670676
F50_F_dm;0,201983477;-0,068723734;-0,107906956
F50_F_dldm;0,172208294;-0,051359374;-0,15377486
F50_F_lm;0,171223001;-0,067306465;-0,022920047
F50_F_oceld;0,047860188;-0,025574466;0,021451773
G49_F_gbuv;0,067839173;-0,02503206;-0,07778321
G49_F_vbuv;0,075002459;-0,026097412;-0,076806866
G49_F_ocele;0,035117762;-0,018601789;0,0143229
G49_F_dm;0,184347755;-0,061498353;-0,166320376
G49_F_dldm;0,154962964;-0,043558829;-0,191521194
G49_F_lm;0,18025266;-0,067465198;-0,136505713
G49_F_oceld;0,032694894;-0,018944932;0,012716591
H73_M_gbt_buv;0,07244514;-0,028205493;-0,042094561
H73_M_gbt_t;0,24955525;-0,102689465;-0,169221551
H73_M_vbt_vbuv;0,079705766;-0,029280015;-0,064861965
H73_M_vbt_t;0,195836584;-0,080114792;-0,128824639
H73_M_ocele;-0,003006211;-0,010015191;0,087443996
H73_M_oe;-0,022001558;-0,011074627;0,098804341
H73_M_dm;0,148198871;-0,050332632;-0,118311184
H73_M_dldm;0,169171048;-0,058562221;-0,152000114
H73_M_oceld;-0,006502805;-0,010118026;0,100770658
H73_M_od;-0,018730992;-0,009694009;0,119757066
G19_M_gt;0,33396304;-0,146636129;-0,160428623
G19_M_vt;0,35058757;-0,153367193;-0,20477687
G19_M_ocele;0,00709978;-0,009177244;0,072830294
G19_M_oe;0,004992088;-0,010106992;0,077310992
G19_M_dm;0,198530302;-0,069828007;-0,167872825
G19_M_dldm;0,187227957;-0,056662094;-0,192666613
G19_M_oceld;-0,001420934;-0,009010737;0,097406437
G19_M_od;-0,013259158;-0,008193293;0,116657159
H15_M_gt;0,301020768;-0,130520156;-0,175298352
H15_M_vt;0,294447501;-0,128173584;-0,15859014
H15_M_oe;-0,021223319;-0,014810763;0,148821142
H15_M_ocele;-0,018879406;-0,012346352;0,133789334
H15_M_dm;0,178989852;-0,060771038;-0,17813463
H15_M_dldm;0,217309849;-0,074055293;-0,207601654
H15_M_oceld;-0,009824756;-0,011625822;0,143569917
H15_M_od;-0,027253637;-0,01189657;0,133985137
F72_M_gt;0,325166464;-0,144260173;-0,190132805
F72_M_vt;0,303111455;-0,126514365;-0,19223448
F72_M_oe;0,012018252;-0,013585406;0,090621384
F72_M_ocele;-0,01042251;-0,010261726;0,101453827
F72_M_dm;0,220531494;-0,073289279;-0,198307987
F72_M_dldm;0,207993568;-0,066032021;-0,160180473
F72_M_oceld;-0,00148482;-0,011115933;0,09729458
F72_M_od;-0,001270036;-0,013456081;0,113650766
G78_M_gt;0,251377883;-0,108640906;-0,131482142
G78_M_vrosat;0,133219431;-0,048349179;-0,143277825
G78_M_oe;0,034241188;-0,018176319;0,08030536
G78_M_ocele;-0,010662254;-0,012948495;0,15272748
G78_M_dm;0,223155802;-0,075219038;-0,155915488
G78_M_dldm;0,188608027;-0,05408857;-0,183055966
G78_M_oceld;0,012215382;-0,010631581;0,128413613
G78_M_od;0,044096515;-0,021295245;0,066412372
F86_F_gbuv;0,083615262;-0,028818843;-0,082798536
F86_F_vbuv;0,09332018;-0,031551137;-0,108107454
F86_F_dm;0,138863897;-0,054173798;-0,029792295
F86_F_dldm;0,221003619;-0,064468037;-0,179234253
F86_F_lm;0,158720055;-0,062153237;-0,020660768
H22_M_gtrosada;0,155117749;-0,057449599;-0,158041475
H22_M_vtrosat;0,158202292;-0,060756858;-0,132012065
H22_M_ocele;-0,009057503;-0,0105179;0,137425229
H22_M_oe;-0,023383916;-0,011759069;0,116500187
H22_M_dm;0,1575223;-0,053439318;-0,115009686
H22_M_dldm;0,18195088;-0,059694346;-0,164120222
H22_M_oceld;-0,011070002;-0,010347075;0,137388018
H22_M_od;-0,020793529;-0,013373834;0,109881024
G94_M_gbt_buv;0,090343238;-0,035150216;-0,06355994
G94_M_gbt_t;0,252337073;-0,106076832;-0,141534083
G94_M_vbt_buv;0,079098274;-0,027520566;-0,076834774
G94_M_oe;0,018028244;-0,016401968;0,088107421
G94_M_ocele;0,001956257;-0,01455668;0,104013292
G94_M_dm;0,174106296;-0,062035629;-0,127733698
G94_M_dldm;0,185916805;-0,057168051;-0,189374836
G94_M_oceld;0,006598247;-0,009917409;0,132862874
G94_M_od;-0,015180129;-0,014136348;0,149054538
G56_F_gb;0,095249998;-0,033290706;-0,126198513
G56_F_vbuv;0,076210394;-0,026941578;-0,071416354
G56_F_dm;0,18097048;-0,06312886;-0,13157353
G56_F_dldm;0,204554619;-0,065286171;-0,176801149
G56_F_lm;0,131787488;-0,048427962;-0,072941105
G52_M_gt;0,252718067;-0,110838512;-0,100119277
G52_M_vt;0,245853113;-0,104550669;-0,107215106
G52_M_oe;0,026747177;-0,010864801;0,057673569
G52_M_ocele;0,001783219;-0,010915393;0,129955731
G52_M_dm;0,168730444;-0,065393689;-0,020169877
G52_M_dldm;0,187899873;-0,063606398;-0,129114317
G52_M_oceld;0,014561285;-0,01039384;0,102618368
G52_M_od;0,017856993;-0,012465941;0,080166436
H83_F_gb;0,082659997;-0,027042129;-0,096749636
H83_F_vbuv;0,068673137;-0,022964234;-0,071185617
H83_F_dm;0,180705401;-0,058414031;-0,088846007
