;x;y;z
f17,,,2;0,003390608;-0,017027904;0,0144388
f17,,,3;-0,01071148;-0,015041715;0,033865105
f17,,,4;-0,003337308;-0,014440036;0,005297642
f17,,,5;-0,028252861;-0,015872195;0,037537861
f17,,,6;-0,014867447;-0,012822352;0,035390257
f17,,,7;0,010945457;-0,019408077;0,015788581
f17,,,8;0,020237665;-0,019576693;-0,000834767
f17,,,9;0,023579145;-0,022250454;-0,004064526
f17,,,10;-0,020724725;-0,0154527;0,03527296
f17,,,11;-0,009072257;-0,016115763;0,012232054
f17,,,12;8,29E-05;-0,015349377;-0,005877699
f17,,,13;-0,015797652;-0,015019694;0,069979098
f2,,,14;0,003115604;-0,014634834;0,02172377
f2,,,15;0,006397115;-0,010465862;0,021742421
f2,,,16;0,003550517;-0,010595117;0,02845855
f2,,,17;0,003550517;-0,010595117;0,02845855
f2,,,18;-0,010997197;-0,0146196;0,032918292
f2,,,19;0,002642339;-0,012451405;0,024396511
f2,,,20;0,003115604;-0,014634834;0,02172377
f2,,,21;0,001727208;-0,014397638;0,034110846
f21,,,22;-0,003862672;-0,017243707;0,015490339
f21,,,23;0,018699501;-0,015089253;-0,025319125
f21,,,24;-0,006452254;-0,015081631;-0,003659223
f21,,,25;-0,021313012;-0,016840597;0,04902637
f21,,,26;-0,022416797;-0,014725061;0,029408807
f21,,,27;0,041292761;-0,018423284;-0,055309422
f21,,,28;0,0295642;-0,017138992;-0,026871589
f21,,,29;0,020835042;-0,014785052;-0,023394819
f21,,,30;-0,006405365;-0,01470217;-0,016150972
f21,,,31;0,059302494;-0,019467782;-0,071312083
f21,,,32;-0,003820221;-0,017760095;0,016147587
f21,,,33;-0,018212703;-0,017191564;0,031868832
f22,,,34;0,00814819;-0,016536207;0,015762178
f22,,,35;-0,00173256;-0,01523657;-0,001905776
f22,,,36;0,007873064;-0,017726118;0,010766258
f22,,,37;-0,001221442;-0,016105878;0,009464131
f22,,,38;0,006920395;-0,015642596;0,002438666
f22,,,39;0,023131065;-0,016957858;-0,028421866
f22,,,40;0,040332962;-0,017551876;-0,042062067
f22,,,41;0,043933526;-0,017835153;-0,049938959
f22,,,42;0,017668306;-0,016272236;-0,00952146
f22,,,43;0,000455394;-0,014997562;-0,00118347
f22,,,44;0,009053218;-0,016217535;0,00998579
f23,,,45;-0,039298799;-0,01514754;0,014106768
f23,,,46;-0,019589194;-0,015742355;3,27E-05
f23,,,47;-0,041442106;-0,016088028;0,016336351
f23,,,48;0,002823358;-0,017679221;-0,028511647
f23,,,49;-0,007470139;-0,016407299;-0,008434181
f23,,,50;0,026794669;-0,01931717;-0,048307188
f23,,,51;-0,014166922;-0,016220394;-0,011238289
f23,,,52;-0,002035916;-0,020520273;-0,014803141
f23,,,53;-0,029338994;-0,014621917;0,00072837
f2blaaublaanquinós,,,54;0,079631069;-0,016467254;-0,086698848
f2blaaublaanquinós,,,55;0,081667626;-0,018486285;-0,086219193
f2blaublanquinós;0,03300378;-0,010010332;-0,03034408
f30,,,57;0,056930576;-0,021947396;-0,078179881
f30,,,58;0,061104553;-0,018217452;-0,098363307
f30,,,59;0,061104553;-0,018217452;-0,098363307
f30,,,60;0,044883287;-0,017640413;-0,095692169
f30,,,61;0,04171857;-0,016955995;-0,090521145
f30,,,62;0,051471517;-0,020500872;-0,097812975
f30,,,63;0,059779451;-0,017558539;-0,096188892
f30blauclaar;0,050162841;-0,018710896;-0,088519476
f35,,,65;0,044783596;-0,019194774;-0,086558695
f35,,,66;0,073282303;-0,025741024;-0,091845688
f35,,,67;0,042808702;-0,023006147;-0,039506634
f35,,,68;0,045411458;-0,019473262;-0,082331424
f35,,,69;0,020346605;-0,021096504;-0,009676258
f35,,,70;0,075007648;-0,031278815;-0,085246633
f35,,,71;0,065873717;-0,027530579;-0,076713557
f35,,,72;0,04420555;-0,02462979;-0,061176419
f36,,,73;0,015237814;-0,013330455;-0,02744803
f36,,,74;0,001673565;-0,013969464;-0,027753252
f36,,,75;0,003685046;-0,015108607;0,007651721
f36,,,76;-0,010690598;-0,010901872;-0,014869623
f36,,,77;0,002454509;-0,00883698;-0,039485212
f36,,,78;0,034702127;-0,01852846;-0,049572458
f36,,,79;0,033824077;-0,02070822;-0,052672523
f36,,,80;0,026218319;-0,018150704;-0,037646641
f36,,,81;-0,027313264;-0,013798603;0,014386851
f36,,,82;0,007946365;-0,014622726;-0,023661999
f36,,,83;-0,005216088;-0,012994466;-0,011884794
f36,,,84;-0,003276281;-0,015607514;-0,015240832
f38,,,85;-0,032189799;-0,023407288;0,064169401
f38,,,86;-0,01488334;-0,022874293;0,031423868
f4,,,87;0,043336585;-0,01850975;-0,071229243
f4,,,88;0,050255276;-0,018555534;-0,077352632
f4,,,89;0,051060077;-0,020320373;-0,057260827
f4,,,90;0,051060077;-0,020320373;-0,057260827
f4,,,91;0,024926541;-0,015989585;-0,044995017
f4,,,92;0,081734496;-0,025546125;-0,096699357
f4,,,93;0,034698675;-0,01724123;-0,047770578
f4,,,94;0,044119739;-0,01762742;-0,057570123
f4,,,95;0,038320644;-0,019446235;-0,053287802
f42,,,96;0,003114838;-0,016396832;0,024175562
f42,,,97;-0,015336438;-0,014159105;0,071354661
f42,,,98;-0,019939398;-0,016243241;0,106274605
f42,,,99;0,02929182;-0,020357584;-0,005122454
