;x;y;z
m12,,,2;0,09094151;-0,033659458;-0,076755861
m12,,,3;0,041271718;-0,027909291;0,015291461
m12,,,4;0,048081553;-0,026624381;0,025396682
m12,,,5;0,087473797;-0,036237299;-0,068336265
m12,,,6;0,016281845;-0,023002798;0,081569982
m12,,,7;0,041709093;-0,024530393;0,015249636
m12,,,8;0,043140904;-0,030634487;0,034622972
m12,,,9;0,039243536;-0,03113212;0,03274432
m12blavós,,,10;0,082107237;-0,033837895;-0,072159805
m12blavós,,,11;0,082396928;-0,03495574;-0,072868502
m12blavós,,,12;0,083028442;-0,034306037;-0,064266785
m13,,,13;0,021574197;-0,017151919;0,005613927
m13,,,14;0,031475678;-0,016451002;-0,008436041
m13,,,15;0,049963202;-0,01877795;-0,024531999
m13,,,16;0,028713487;-0,017778413;0,013567173
m13,,,17;0,019193801;-0,016270497;0,00168441
m13,,,18;0,0446509;-0,018231926;-0,026175769
m13,,,19;0,011161011;-0,016479308;0,047572511
m13,,,20;0,051757848;-0,024196397;-0,010818192
m13,,,21;0,034632204;-0,018125342;-0,009949573
m13blavós,,,22;0,045644201;-0,020356182;-0,016283215
m13blavós,,,23;0,078243921;-0,024340536;-0,061828807
m14,,,24;0,071335392;-0,021111047;-0,001258377
m14,,,25;0,083250972;-0,020459622;-0,012336106
m14,,,26;0,088592937;-0,023464504;-0,033576805
m141blauverdós;0,103899713;-0,032155417;-0,066957447
m14blauverdos,,,28;0,102304767;-0,026057548;-0,036264415
m14blauverdos,,,29;0,088384885;-0,020108003;-0,014258801
m14blauverdós,,,30;0,088795108;-0,021937586;-0,029178782
m14blauverdós,,,31;0,09902946;-0,031076556;-0,036815597
m14blauverdós,,,32;0,099207354;-0,030116213;-0,035423929
m14blauverdós,,,33;0,104553502;-0,025035853;-0,039151967
m15,,,34;0,048764857;-0,020112103;0,030352047
m15,,,35;0,02974886;-0,015630734;0,03940557
m15,,,36;0,03701705;-0,018742889;0,040839273
m15,,,37;0,026004584;-0,015689548;0,062441141
m15,,,38;0,044121536;-0,01557804;0,0438666
m15,,,39;0,058063699;-0,015792739;-0,012415053
m15,,,40;0,081488095;-0,020801348;-0,01695609
m15,,,41;0,103565634;-0,028452758;-0,056242246
m15,,,42;0,022227717;-0,014922723;0,066731647
m15,,,43;0,035417561;-0,013287191;0,041855772
m15,,,44;0,040132141;-0,016171994;0,04948642
m15,,,45;0,024000743;-0,017461067;0,06434205
m16,,,46;0,001759051;-0,010962783;0,001708218
m16,,,47;0,012464739;-0,017942423;0,020483885
m16,,,48;-0,00503483;-0,015805987;0,072736923
m16,,,49;0,003593002;-0,016745235;0,044293494
m16,,,50;0,011871295;-0,016184235;0,020886976
m16,,,51;0,030736818;-0,016308715;0,005826012
m16,,,52;0,046665016;-0,016703424;-0,007149655
m16,,,53;0,018180882;-0,017424842;0,012069996
m16,,,54;0,009342291;-0,019620545;0,027029353
m16,,,55;0,0093799;-0,016742386;0,028331085
m16,,,56;-0,008827925;-0,015002823;0,037341324
m16,,,57;-0,006387282;-0,01607902;0,054017654
m18,,,58;0,045208747;-0,016443139;-0,035632566
m18,,,59;0,057375545;-0,009552055;-0,033254725
m18,,,60;0,052235841;-0,010587847;-0,047296389
m18,,,61;0,054676656;-0,015292498;-0,032823988
m18,,,62;0,029843618;-0,021492045;-0,003716995
m18,,,63;0,071606916;-0,024992372;-0,061423699
m18,,,64;0,053675611;-0,007833074;-0,056046079
m18,,,65;0,056707667;-0,011669865;-0,051642393
m18,,,66;0,059436236;-0,010091965;-0,046043787
m24,,,67;0,042255273;-0,015400171;-0,05114739
m24,,,68;0,028881104;-0,017210446;0,00458103
m24,,,69;0,030263506;-0,012851535;-0,035760522
m24,,,70;0,040245651;-0,01757023;-0,052320424
m24,,,71;0,051385963;-0,018716938;-0,060165947
m24,,,72;0,067574037;-0,010631901;-0,072876838
m24,,,73;0,070024342;-0,014641684;-0,070957864
m24,,,74;0,027550328;-0,013867945;0,003764927
m24,,,75;0,052918639;-0,012961424;-0,061563797
m24,,,76;0,010713234;-0,01497104;-0,023175026
m24,,,77;0,037616973;-0,01999779;-0,007981409
m25,,,78;0,049375335;-0,024490918;-0,037891105
m25,,,79;0,066084059;-0,022916361;-0,054698861
m25,,,80;0,061922841;-0,019414684;-0,033356878
m25,,,81;0,041699424;-0,018684394;-0,040838393
m25,,,82;0,047135867;-0,020028839;-0,069516961
m25,,,83;0,103696205;-0,029168424;-0,087892188
m25,,,84;0,107815239;-0,029106141;-0,088071152
m25,,,85;0,039177327;-0,022602494;0,006366723
m25,,,86;0,052546483;-0,018646519;-0,032407385
m25,,,87;0,050107045;-0,02124655;-0,050075958
m25,,,88;0,03629804;-0,018860254;-0,006059603
m26,,,89;0,051971523;-0,01739831;0,002762437
m26,,,90;0,024657693;-0,014755458;0,022336551
m26,,,91;0,020486539;-0,015909243;0,040009338
m26,,,92;0,026254846;-0,015619275;0,051302741
m26,,,93;0,029144782;-0,01600011;0,020455255
m26,,,94;0,069696463;-0,023089652;-0,04618689
m26,,,95;0,078046881;-0,023080776;-0,055164587
m26,,,96;0,041159917;-0,017895848;0,002922196
m26,,,97;0,016104625;-0,01620673;0,051594141
m26,,,98;0,040995599;-0,012711824;0,013863604
m26,,,99;0,026136921;-0,015132582;0,022339011
m26,,,100;0,027383471;-0,015003104;0,046312693
m27,,,101;-0,01559972;-0,014085828;0,046947322
m27,,,102;0,008834532;-0,013695977;0,019874569
m27,,,103;0,028437705;-0,014174207;-0,016305969
m27,,,104;0,000194266;-0,014197712;0,005848083
m27,,,105;-0,002352255;-0,014437336;0,054592949
m27,,,106;0,019985012;-0,011207613;0,007974684
m27,,,107;0,061298232;-0,0163575;-0,044908248
m27,,,108;0,040866768;-0,011970713;-0,019157474
m27,,,109;0,037618897;-0,016156956;-0,008577291
m27,,,110;0,022392634;-0,012378255;-0,021932779
m27,,,111;0,000194266;-0,014197712;0,005848083
m28,,,112;0,012391438;-0,013391912;0,034370455
m28,,,113;0,046630803;-0,01017872;-0,029683042
m28,,,114;0,012928103;-0,009130846;0,008385646
m28,,,115;0,021028313;-0,013636165;0,027646634
m28,,,116;0,026092137;-0,011275996;-0,000305376
m28,,,117;0,046741376;-0,002251552;-0,075009167
m28,,,118;0,046089525;-0,001041107;-0,075714439
m28,,,119;0,009025653;-0,010099329;0,022211857
m28,,,120;0,056330127;-0,00982452;-0,048218949
m28,,,121;0,029172917;-0,018643963;-0,009941964
m28,,,122;0,020248216;-0,014721157;0,016930373
m29,,,123;0,018783022;-0,021331996;-0,032893852
m29,,,124;0,018903487;-0,013397177;0,03680947
m29,,,125;0,013991827;-0,014475897;0,022740583
m29,,,126;0,024956644;-0,01984932;-0,005431157
m29,,,127;0,012742359;-0,018167177;0,025277823
m29,,,128;0,037091099;-0,020292854;0,009460075
m29,,,129;0,048250019;-0,013348797;-0,01287778
m29,,,130;0,057053252;-0,015650789;-0,028089842
m29,,,131;0,021457697;-0,01696207;0,026228876
m29,,,132;0,024516729;-0,018248605;-0,000572097
m29,,,133;0,029689383;-0,018914703;-0,040158487
m29,,,134;0,0096667;-0,012572956;0,010993219
m31,,,135;-0,00603376;-0,017415766;0,034673051
m31,,,136;0,00825985;-0,013115213;0,049483418
m31,,,137;0,020558393;-0,013605276;0,030460876
m31,,,138;0,004016515;-0,015120115;0,034378253
m31,,,139;-0,004803592;-0,012768671;0,079259536
m31,,,140;0,031425584;-0,007154986;0,007774332
m31,,,141;0,045047744;-0,009913342;-0,026838339
m31,,,142;0,045455925;-0,012525043;-0,014936587
m31,,,143;-0,003724362;-0,013189299;0,07402808
m31,,,144;0,026754735;-0,010181685;0,006584823
m31,,,145;-0,001095522;-0,012562711;-0,029736201
m31,,,146;0,018101641;-0,012791358;0,033772076
m34,,,147;0,058897477;-0,014313172;-0,035016047
m34,,,148;0,042614012;-0,014183616;-0,024258658
m34,,,149;0,043505573;-0,014390934;-0,024711843
m34,,,150;0,071629624;-0,018031061;-0,051707115
m5,,,151;0,011232761;-0,014750184;-0,020269997
m5,,,152;0,02215552;-0,013181798;0,006798654
m5,,,153;0,007944418;-0,012492495;0,034748905
m5,,,154;0,027259637;-0,014115438;-0,002945302
m5,,,155;0,008061722;-0,014847894;0,022394513
m5,,,156;0,0367261;-0,011317373;0,004957106
m5,,,157;0,051841726;-0,015613116;-0,025674377
m5,,,158;0,072859099;-0,013810732;-0,054571925
m5,,,159;0,0185682;-0,014909386;0,044913111
m5,,,160;0,023452088;-0,013829415;-0,003280813
m5,,,161;0,016949942;-0,016296794;0,008738922
m5,,,162;0,007684833;-0,013351443;0,028072591
m6,,,163;0,017327604;-0,013062388;0,022115009
m6,,,164;0,025135368;-0,013179029;0,026824691
m6,,,165;0,024290777;-0,00842986;0,003625165
m6,,,166;0,023781743;-0,01423315;0,020493676
m6,,,167;0,010593769;-0,010702546;0,046979654
m6,,,168;0,030560006;-0,01374598;0,025790328
m6,,,169;0,042595854;-0,008744884;-0,018032454
m6,,,170;0,006748646;-0,012799856;0,03665317
m6,,,171;0,010395535;-0,014726972;0,058339075
m6blauclar,,,172;0,088888078;-0,015054422;-0,09637624
m6blauclar,,,173;0,099691169;-0,023860219;-0,10804248
m7,,,174;0,091291087;-0,018170686;-0,10752094
m7,,,175;0,115081809;-0,019286278;-0,100834341
m7,,,176;0,106517028;-0,024331083;-0,095121655
m7,,,177;0,088837605;-0,025849487;-0,079365019
m7,,,178;0,101975987;-0,02457654;-0,083339018
m7,,,179;0,080557261;-0,02589209;-0,063012444
m7,,,180;0,077828684;-0,01236848;-0,102578994
m7,,,181;0,098104899;-0,024639148;-0,085067443
m7àreablavosa;0,103714525;-0,027954697;-0,119020093
m7blavós,,,183;0,117470186;-0,022180213;-0,113255768
m7blavós,,,184;0,107181211;-0,02429842;-0,09681557
m9,,,185;-0,01814481;-0,012125916;0,097924335
m9,,,186;0,013922079;-0,014598727;0,040149664
m9,,,187;-0,003622059;-0,011228227;0,055357674
m9,,,188;-0,019031467;-0,015357413;0,140487745
m9,,,189;-0,007786207;-0,014544411;0,105685478
m9,,,190;0,015025572;-0,006777404;0,050442175
m9,,,191;0,020531513;-0,008681755;0,029721337
m9,,,192;0,046979568;-0,018236159;-0,013254038
m9,,,193;0,007107037;-0,018370852;0,041098798
m9,,,194;-0,012175627;-0,012951755;0,04696921
m9,,,195;-0,012175627;-0,012951755;0,04696921
m9,,,196;0,010154762;-0,014424986;0,019278624
