"";"u";"s";"m";"l";"u,r";"s,r";"m,r";"l,r";"x";"y";"z";"h,theta";"h,phi";"r,vec";"r,max";"r,achieved";"lum"
"TorQuerol_E75_M_gg";0,0821509739840422;0,180702478378011;0,25605840205666;0,481088145581287;-0,167849026015958;-0,0692975216219891;0,00605840205665952;0,231088145581287;0,183947902673377;-0,0529176864895928;-0,167849026015958;-0,280113832293477;-0,719914380623149;0,254578883601627;0,379178374823312;0,671396104063831;26,1591849522574
"TorQuerol_E86_F_gg";0,0770788327188305;0,178444504876853;0,263314472156119;0,481162190248197;-0,17292116728117;-0,0715554951231466;0,0133144721561192;0,231162190248197;0,185375966319043;-0,0470147346733371;-0,17292116728117;-0,248381197982302;-0,735123441864921;0,25783010735561;0,372756718291721;0,691684669124678;30,3810108851994
"TorQuerol_E95_M_gg";0,0605494632293414;0,147034089523288;0,254582041979266;0,537834405268105;-0,189450536770659;-0,102965910476712;0,00458204197926554;0,287834405268105;0,239315341223339;-0,0621208901921519;-0,189450536770659;-0,253972318161744;-0,653814891668492;0,311484098190902;0,411036177965508;0,757802147082635;32,4997225928585
"TorQuerol_E96_M_gg";0,110739677826099;0,148801929917079;0,239430711402394;0,501027680854427;-0,139260322173901;-0,101198070082921;-0,0105692885976058;0,251027680854427;0,215693341016284;-0,0604463825392214;-0,139260322173901;-0,273233307287953;-0,556215045570017;0,263762809836458;0,473506749300575;0,557041288695602;30,7558114735002
"TorQuerol_F20_F_gg";0,0450976469443216;0,133094760133336;0,250228325976395;0,571579266945947;-0,204902353055678;-0,116905239866664;0,00022832597639523;0,321579266945947;0,268515825451708;-0,07220174539403;-0,204902353055678;-0,262678790243038;-0,635074995502546;0,345396605142133;0,421416103806623;0,819609412222714;37,5244514638758
"TorQuerol_F21_M_gg";0,0702675990481128;0,13636729503109;0,247923079590059;0,545442026330738;-0,179732400951887;-0,11363270496891;-0,00207692040994103;0,295442026330738;0,250506089587568;-0,0657479065147906;-0,179732400951887;-0,256671200841782;-0,606669468205796;0,315245656724184;0,438493080622359;0,718929603807549;32,0463994093067
"TorQuerol_F25_M_ggt_g";0,169858841420801;0,158591834569656;0,229028601721267;0,442520722288276;-0,080141158579199;-0,0914081654303442;-0,0209713982787326;0,192520722288276;0,173870224536649;-0,0505777052425326;-0,080141158579199;-0,283081342306686;-0,416666359347802;0,198019101468625;0,541579356002724;0,365632661721377;25,2391701247006
"TorQuerol_F27_M_gg";0,111227785298698;0,165180159748827;0,245409723848091;0,478182331104384;-0,138772214701302;-0,0848198402511727;-0,00459027615190882;0,228182331104384;0,191673902051075;-0,0539321101195836;-0,138772214701302;-0,274282636295464;-0,608668143162125;0,24270410957077;0,437234698050279;0,555088858805209;30,8275747557389
"TorQuerol_F32_M_gg";0,110789273471427;0,141135480509774;0,236707320637192;0,511367925381607;-0,139210726528573;-0,108864519490226;-0,0132926793628078;0,261367925381607;0,226720144039773;-0,0633174399474999;-0,139210726528573;-0,272336986938749;-0,534064817626762;0,273478972309634;0,491124102160157;0,556842906114292;29,4080581684632
"TorQuerol_F35_M_ggt_g";0,127205378365083;0,15459276832791;0,232028598887271;0,486173254419736;-0,122794621634917;-0,0954072316720895;-0,0179714011127295;0,236173254419736;0,203050749897246;-0,0624760042169947;-0,122794621634917;-0,29849375960547;-0,524091012780913;0,245380066915017;0,499574133720128;0,491178486539667;28,302575602348
"TorQuerol_F41_F_ggrnc";0,136098151759054;0,173827243273744;0,244282089649099;0,445792515318104;-0,113901848240946;-0,0761727567262564;-0,00571791035090144;0,195792515318104;0,166544036066475;-0,0463351444154359;-0,113901848240946;-0,271353238920795;-0,582598884466153;0,207020512486116;0,454383567262639;0,455607392963786;24,5233209451305
"TorQuerol_F54_M_gg";0,0897713909452892;0,173803960478655;0,258232893517659;0,478191755058396;-0,160228609054711;-0,0761960395213445;0,00823289351765925;0,228191755058396;0,186398695162867;-0,0479170657486517;-0,160228609054711;-0,25161938360789;-0,694265847668141;0,250427087009348;0,390734040079943;0,640914436218843;36,9762576414675
"TorQuerol_F61_F_ggt_g";0,132049485628541;0,166873476526117;0,237150209612716;0,463926828232626;-0,117950514371459;-0,0831265234738835;-0,0128497903872842;0,213926828232626;0,181907284516115;-0,0553310651577614;-0,117950514371459;-0,295279720720315;-0,555246615399969;0,223750107870389;0,474245723010878;0,471802057485835;30,7104278152621
"TorQuerol_F62_M_gg";0,107882852303051;0,17335714263853;0,262127551147775;0,456632453910643;-0,142117147696949;-0,0766428573614697;0,0121275511477754;0,206632453910643;0,173469992336188;-0,0373827889460335;-0,142117147696949;-0,212254050391312;-0,675274437003598;0,227346860149898;0,399928621975113;0,568468590787797;26,9950307239909
"TorQuerol_F66_F_gg";0,101939967416513;0,159085168571942;0,246416221421627;0,492558642589918;-0,148060032583487;-0,0909148314280578;-0,00358377857837322;0,242558642589918;0,204209963524326;-0,0561482977338005;-0,148060032583487;-0,268323223410617;-0,610117681959857;0,258410746273512;0,436327653325014;0,592240130333947;23,2859496834151
