"";"u";"s";"m";"l";"u,r";"s,r";"m,r";"l,r";"x";"y";"z";"h,theta";"h,phi";"r,vec";"r,max";"r,achieved";"lum"
"Bazerque_F_25_gt";0,0950399013992677;0,121354121952001;0,200446433298151;0,58315954335058;-0,154960098600732;-0,128645878047999;-0,0495535667018488;0,33315954335058;0,282796910719371;-0,107346162837243;-0,154960098600732;-0,362786480297708;-0,473431093328978;0,339867508812843;0,548314553039458;0,619840394402929;22,8407739581959
"Bazerque_F_A31_gt";0,125594008120748;0,109416911367849;0,156513778365049;0,608475302146354;-0,124405991879252;-0,140583088632151;-0,0934862216349513;0,358475302146354;0,305609602315456;-0,143141272137403;-0,124405991879252;-0,438032758421132;-0,353184967709532;0,359671382837147;0,639606417700536;0,562332354528603;10,7041046576855
"Bazerque_F_A33_gt";0,0800190866993585;0,135303587362917;0,19637859685944;0,588298729078285;-0,169980913300641;-0,114696412637084;-0,0536214031405598;0,338298729078285;0,277401738290602;-0,116971414899724;-0,169980913300642;-0,399044966645338;-0,513996711446011;0,345727562101738;0,508479974881441;0,679923653202566;15,4579209887616
"Bazerque_F_A34_gt";0,115469878879948;0,138120960847125;0,193202069622767;0,55320709065016;-0,134530121120052;-0,111879039152875;-0,0567979303772332;0,30320709065016;0,254187304331025;-0,107806883049573;-0,134530121120052;-0,401128256214568;-0,453390901575476;0,307134926708952;0,570754943487471;0,538120484480208;14,1942478157426
"Bazerque_F_A99_gt";0,101892414287048;0,159656072824647;0,211223631069693;0,527227881818613;-0,148107585712952;-0,0903439271753535;-0,0387763689303074;0,277227881818613;0,225090843966744;-0,0934924892320156;-0,148107585712952;-0,39367251822836;-0,546031614858838;0,285206224557213;0,481417314285935;0,592430342851807;16,328166305939
"Bazerque_F_C46_gt";0,1346905961482;0,136353446383928;0,186703682691425;0,542252274776447;-0,1153094038518;-0,113646553616072;-0,0632963173085749;0,292252274776447;0,248561254188796;-0,107903913488636;-0,1153094038518;-0,409564868424758;-0,402327566457866;0,294486349847879;0,638469933957783;0,461237615407199;13,7610996324736
"Bazerque_M_A37_gt";0,138396412986434;0,133938215832353;0,193393795288682;0,534271575892531;-0,111603587013566;-0,116061784167647;-0,0566062047113178;0,284271575892531;0,245153114790333;-0,0994977734039278;-0,111603587013566;-0,385547626825896;-0,39917606636412;0,287150164962578;0,618528672081674;0,464247136670589;13,5195296969618
"Bazerque_M_A41_gt";0,117509374823647;0,122591841147473;0,177273561264872;0,582625222764008;-0,132490625176353;-0,127408158852527;-0,0727264387351283;0,332625222764008;0,281711762401891;-0,123980546754658;-0,132490625176353;-0,414588273017691;-0,406488224085789;0,335091717010111;0,632293259549654;0,529962500705412;10,7308682169278
"Bazerque_M_A45_gt";0,12732225558677;0,131879469733703;0,181519596098603;0,559278678580925;-0,12267774441323;-0,118120530266297;-0,0684804039013974;0,309278678580925;0,261727494536229;-0,11600756945324;-0,12267774441323;-0,417216429681817;-0,404845220396069;0,311462464096362;0,634716723856665;0,49071097765292;15,7554177669232
"Bazerque_M_A77_gt";0,1051558843338;0,137833942869891;0,194035074491036;0,562975098305273;-0,1448441156662;-0,112166057130109;-0,0559649255089643;0,312975098305273;0,260344724868489;-0,110569895705252;-0,1448441156662;-0,401621369352941;-0,473268826590554;0,31778120688021;0,548488292773578;0,579376462664799;17,199772793031
"Bazerque_M_B26_gt";0,132339260941065;0,122479767136787;0,172401144647962;0,572779827274186;-0,117660739058935;-0,127520232863213;-0,0775988553520381;0,322779827274186;0,275751344620301;-0,123905368481607;-0,117660739058935;-0,422302699134356;-0,371166332777874;0,32440005227244;0,635977611138019;0,510080931452851;16,549314520569
"Bazerque_M_C31_gt";0,119069779972927;0,122052938858254;0,196672228606042;0,562205052562778;-0,130930220027073;-0,127947061141746;-0,0533277713939581;0,312205052562778;0,269537021945892;-0,102853466389046;-0,130930220027073;-0,364538351755773;-0,426042402894116;0,316815031625775;0,604931068549844;0,523720880108293;20,1721021504471
"Bazerque_M_C48_gt";0,125443685516094;0,119206175354502;0,176266879766446;0,579083259362957;-0,124556314483906;-0,130793824645498;-0,0737331202335538;0,329083259362957;0,281616050054937;-0,12224309127837;-0,124556314483906;-0,409533881066661;-0,385424786282938;0,33130838880362;0,633264585888506;0,52317529858199;19,8741392025296
"Bazerque_M_C96_gt";0,173932746345504;0,13929813594568;0,179962451616459;0,506806666092357;-0,0760672536544961;-0,11070186405432;-0,070037548383541;0,256806666092357;0,225052093744902;-0,10117987354219;-0,0760672536544961;-0,422508122344279;-0,299032036303073;0,258209292604885;0,583118664736722;0,442807456217281;16,1255436175809
"Bazerque_M_D14_gt";0,119259043563727;0,1216307815126;0,179007062372067;0,580103112551606;-0,130740956436273;-0,1283692184874;-0,0709929376279327;0,330103112551606;0,280755818057485;-0,121523289857049;-0,130740956436273;-0,408495237282502;-0,403867080338747;0,332693458067151;0,636169160635818;0,522963825745092;12,6891503700386
"Bazerque_M_D16_gt";0,11358740162659;0,147472626150244;0,199038678392637;0,53990129383053;-0,13641259837341;-0,102527373849756;-0,0509613216073632;0,28990129383053;0,240312499064232;-0,10228178080475;-0,13641259837341;-0,402395587550938;-0,481332903515212;0,294652434040639;0,54000223871198;0,545650393493641;21,8711286792772
"Bazerque_M_D6_gt";0,158635608741038;0,154961505766712;0,194774940576183;0,491627944916067;-0,0913643912589619;-0,0950384942332883;-0,0552250594238167;0,241627944916067;0,206165247358921;-0,0908772113241128;-0,0913643912589619;-0,415175172964413;-0,385249507816559;0,243125952433575;0,63954599237647;0,380153976933153;14,8343548951848
"Bazerque_M_D9_gt";0,148814072187729;0,142128879095551;0,18710418547276;0,52195286324396;-0,101185927812271;-0,107871120904449;-0,0628958145272401;0,27195286324396;0,232593738308642;-0,102485713299049;-0,101185927812271;-0,415027130106195;-0,378868189653595;0,273572221758778;0,634025630458374;0,431484483617795;17,1112600516
"Bazerque_M_E2_gt";0,108938440174517;0,125532056747341;0,191467766552817;0,574061736525324;-0,141061559825483;-0,124467943252659;-0,0585322334471829;0,324061736525324;0,274667212487498;-0,111955601541421;-0,141061559825483;-0,387044772346428;-0,443923835094579;0,328442533775015;0,582090780403526;0,56424623930193;20,107018251856
"Bazerque_M_E21_gt";0,151288468718212;0,120848974997044;0,170097978482792;0,557764577801952;-0,0987115312817878;-0,129151025002956;-0,079902021517208;0,307764577801952;0,267555071883137;-0,119648688443327;-0,0987115312817878;-0,420516964121621;-0,324864077329829;0,30926605301034;0,59865195224595;0,516604100011823;13,0242899784478
"Bazerque_M_E26_gt";0,130719659690375;0,13705299958206;0,185975642789335;0,546251697938231;-0,119280340309625;-0,11294700041794;-0,0640243572106652;0,296251697938231;0,250582003595917;-0,110080054464744;-0,119280340309625;-0,413918189114851;-0,410995115815811;0,298557797589487;0,625748125832175;0,4771213612385;8,92078832812963
"Bazerque_M_E31_gt";0,0681702866634114;0,128431270805962;0,195476372478581;0,607922070052045;-0,181829713336589;-0,121568729194038;-0,0545236275214188;0,357922070052045;0,293626948628047;-0,122117551793681;-0,181829713336589;-0,39413218211248;-0,519408024227904;0,366321615617706;0,503660277651651;0,727318853346354;22,0085035482541
